date,change,Date,Neg_Count,Pos_Count,Sent_Count,day,favorites,Count,pos_neg,pos,neg,flat,job_change,growthgap,negcount1day,poscount1day,sentcount1day,favcount1day,econcount1day,job_change1day,growthgap1day,change1day,negcount2day,poscount2day,sentcount2day,favcount2day,econcount2day,job_change2day,growthgap2day,change2day,negcount3day,poscount3day,sentcount3day,favcount3day,econcount3day,job_change3day,growthgap3day,change3day,negcount4day,poscount4day,sentcount4day,favcount4day,econcount4day,job_change4day,growthgap4day,change4day,negcount5day,poscount5day,sentcount5day,favcount5day,econcount5day,job_change5day,growthgap5day,change5day,negcount6day,poscount6day,sentcount6day,favcount6day,econcount6day,job_change6day,growthgap6day,change6day,negcount7day,poscount7day,sentcount7day,favcount7day,econcount7day,job_change7day,growthgap7day,change7day,negcount8day,poscount8day,sentcount8day,favcount8day,econcount8day,job_change8day,growthgap8day,change8day,negcount9day,poscount9day,sentcount9day,favcount9day,econcount9day,job_change9day,growthgap9day,change9day,negcount10day,poscount10day,sentcount10day,favcount10day,econcount10day,job_change10day,growthgap10day,change10day,negcount11day,poscount11day,sentcount11day,favcount11day,econcount11day,job_change11day,growthgap11day,change11day,negcount12day,poscount12day,sentcount12day,favcount12day,econcount12day,job_change12day,growthgap12day,change12day,negcount13day,poscount13day,sentcount13day,favcount13day,econcount13day,job_change13day,growthgap13day,change13day,negcount14day,poscount14day,sentcount14day,favcount14day,econcount14day,job_change14day,growthgap14day,change14day,negcount15day,poscount15day,sentcount15day,favcount15day,econcount15day,job_change15day,growthgap15day,change15day
2016-05-11,-0.010129481194398007,2016-05-11,9,3,-6,2016-05-11,211703,1,0,0,1,0,197.0,1.8,8.0,10.0,2.0,159922.0,1.0,197.0,1.8,-0.00044290902648593466,3.0,1.0,-2.0,165969.0,1.0,237.0,1.8,-0.00684270550048251,5.0,8.0,3.0,138009.0,1.0,237.0,-0.8,-0.0068701626228367,1.0,2.0,1.0,106798.0,1.0,237.0,-0.8,-0.007489984323288621,2.0,3.0,1.0,136965.0,1.0,237.0,-0.8,0.01110912022934953,3.0,3.0,0.0,123048.0,1.0,212.0,-0.8,-0.0015530787502282795,20.0,11.0,-9.0,298608.0,1.0,212.0,-0.4,-0.007440066133921211,7.0,3.0,-4.0,192211.0,1.0,212.0,-0.4,-0.017569412835684958,1.0,1.0,0.0,108444.0,1.0,108.0,-0.4,0.011789313557710542,2.0,13.0,11.0,219660.0,1.0,108.0,-0.4,-0.0006675567423230324,4.0,5.0,1.0,189031.0,3.0,108.0,-0.1,0.006658946149391986,5.0,8.0,3.0,154433.0,1.0,108.0,-0.1,0.019327482496795268,6.0,3.0,-3.0,79084.0,2.0,108.0,-0.1,-0.0003045994517209985,13.0,9.0,-4.0,107921.0,1.0,273.0,-0.5,0.0065894568690095506,9.0,5.0,-4.0,58819.0,1.0,237.0,-0.5,-0.006976966453215997
2016-05-24,0.01568627450980384,2016-05-24,8,3,-5,2016-05-24,124673,2,1,1,0,0,197.0,1.8,9.0,3.0,-6.0,211703.0,1.0,197.0,1.8,-0.010129481194398007,8.0,10.0,2.0,159922.0,1.0,197.0,1.8,-0.00044290902648593466,3.0,1.0,-2.0,165969.0,1.0,237.0,1.8,-0.00684270550048251,5.0,8.0,3.0,138009.0,1.0,237.0,-0.8,-0.0068701626228367,1.0,2.0,1.0,106798.0,1.0,237.0,-0.8,-0.007489984323288621,2.0,3.0,1.0,136965.0,1.0,237.0,-0.8,0.01110912022934953,3.0,3.0,0.0,123048.0,1.0,212.0,-0.8,-0.0015530787502282795,20.0,11.0,-9.0,298608.0,1.0,212.0,-0.4,-0.007440066133921211,7.0,3.0,-4.0,192211.0,1.0,212.0,-0.4,-0.017569412835684958,1.0,1.0,0.0,108444.0,1.0,108.0,-0.4,0.011789313557710542,2.0,13.0,11.0,219660.0,1.0,108.0,-0.4,-0.0006675567423230324,4.0,5.0,1.0,189031.0,3.0,108.0,-0.1,0.006658946149391986,5.0,8.0,3.0,154433.0,1.0,108.0,-0.1,0.019327482496795268,6.0,3.0,-3.0,79084.0,2.0,108.0,-0.1,-0.0003045994517209985,13.0,9.0,-4.0,107921.0,1.0,273.0,-0.5,0.0065894568690095506
2016-05-31,-8.638562543197232e-05,2016-05-31,2,9,7,2016-05-31,122838,2,0,0,0,1,197.0,1.5,8.0,3.0,-5.0,124673.0,2.0,197.0,1.8,0.01568627450980384,9.0,3.0,-6.0,211703.0,1.0,197.0,1.8,-0.010129481194398007,8.0,10.0,2.0,159922.0,1.0,197.0,1.8,-0.00044290902648593466,3.0,1.0,-2.0,165969.0,1.0,237.0,1.8,-0.00684270550048251,5.0,8.0,3.0,138009.0,1.0,237.0,-0.8,-0.0068701626228367,1.0,2.0,1.0,106798.0,1.0,237.0,-0.8,-0.007489984323288621,2.0,3.0,1.0,136965.0,1.0,237.0,-0.8,0.01110912022934953,3.0,3.0,0.0,123048.0,1.0,212.0,-0.8,-0.0015530787502282795,20.0,11.0,-9.0,298608.0,1.0,212.0,-0.4,-0.007440066133921211,7.0,3.0,-4.0,192211.0,1.0,212.0,-0.4,-0.017569412835684958,1.0,1.0,0.0,108444.0,1.0,108.0,-0.4,0.011789313557710542,2.0,13.0,11.0,219660.0,1.0,108.0,-0.4,-0.0006675567423230324,4.0,5.0,1.0,189031.0,3.0,108.0,-0.1,0.006658946149391986,5.0,8.0,3.0,154433.0,1.0,108.0,-0.1,0.019327482496795268,6.0,3.0,-3.0,79084.0,2.0,108.0,-0.1,-0.0003045994517209985
2016-06-03,-0.0035903573260386533,2016-06-03,3,10,7,2016-06-03,172336,1,0,0,1,0,41.0,1.5,2.0,9.0,7.0,122838.0,2.0,197.0,1.5,-8.638562543197232e-05,8.0,3.0,-5.0,124673.0,2.0,197.0,1.8,0.01568627450980384,9.0,3.0,-6.0,211703.0,1.0,197.0,1.8,-0.010129481194398007,8.0,10.0,2.0,159922.0,1.0,197.0,1.8,-0.00044290902648593466,3.0,1.0,-2.0,165969.0,1.0,237.0,1.8,-0.00684270550048251,5.0,8.0,3.0,138009.0,1.0,237.0,-0.8,-0.0068701626228367,1.0,2.0,1.0,106798.0,1.0,237.0,-0.8,-0.007489984323288621,2.0,3.0,1.0,136965.0,1.0,237.0,-0.8,0.01110912022934953,3.0,3.0,0.0,123048.0,1.0,212.0,-0.8,-0.0015530787502282795,20.0,11.0,-9.0,298608.0,1.0,212.0,-0.4,-0.007440066133921211,7.0,3.0,-4.0,192211.0,1.0,212.0,-0.4,-0.017569412835684958,1.0,1.0,0.0,108444.0,1.0,108.0,-0.4,0.011789313557710542,2.0,13.0,11.0,219660.0,1.0,108.0,-0.4,-0.0006675567423230324,4.0,5.0,1.0,189031.0,3.0,108.0,-0.1,0.006658946149391986,5.0,8.0,3.0,154433.0,1.0,108.0,-0.1,0.019327482496795268
2016-06-06,0.009591504667294722,2016-06-06,8,4,-4,2016-06-06,129170,2,1,1,0,0,41.0,1.5,3.0,10.0,7.0,172336.0,1.0,41.0,1.5,-0.0035903573260386533,2.0,9.0,7.0,122838.0,2.0,197.0,1.5,-8.638562543197232e-05,8.0,3.0,-5.0,124673.0,2.0,197.0,1.8,0.01568627450980384,9.0,3.0,-6.0,211703.0,1.0,197.0,1.8,-0.010129481194398007,8.0,10.0,2.0,159922.0,1.0,197.0,1.8,-0.00044290902648593466,3.0,1.0,-2.0,165969.0,1.0,237.0,1.8,-0.00684270550048251,5.0,8.0,3.0,138009.0,1.0,237.0,-0.8,-0.0068701626228367,1.0,2.0,1.0,106798.0,1.0,237.0,-0.8,-0.007489984323288621,2.0,3.0,1.0,136965.0,1.0,237.0,-0.8,0.01110912022934953,3.0,3.0,0.0,123048.0,1.0,212.0,-0.8,-0.0015530787502282795,20.0,11.0,-9.0,298608.0,1.0,212.0,-0.4,-0.007440066133921211,7.0,3.0,-4.0,192211.0,1.0,212.0,-0.4,-0.017569412835684958,1.0,1.0,0.0,108444.0,1.0,108.0,-0.4,0.011789313557710542,2.0,13.0,11.0,219660.0,1.0,108.0,-0.4,-0.0006675567423230324,4.0,5.0,1.0,189031.0,3.0,108.0,-0.1,0.006658946149391986
2016-06-13,-0.007537473233404672,2016-06-13,4,2,-2,2016-06-13,182567,1,0,0,1,0,41.0,1.5,8.0,4.0,-4.0,129170.0,2.0,41.0,1.5,0.009591504667294722,3.0,10.0,7.0,172336.0,1.0,41.0,1.5,-0.0035903573260386533,2.0,9.0,7.0,122838.0,2.0,197.0,1.5,-8.638562543197232e-05,8.0,3.0,-5.0,124673.0,2.0,197.0,1.8,0.01568627450980384,9.0,3.0,-6.0,211703.0,1.0,197.0,1.8,-0.010129481194398007,8.0,10.0,2.0,159922.0,1.0,197.0,1.8,-0.00044290902648593466,3.0,1.0,-2.0,165969.0,1.0,237.0,1.8,-0.00684270550048251,5.0,8.0,3.0,138009.0,1.0,237.0,-0.8,-0.0068701626228367,1.0,2.0,1.0,106798.0,1.0,237.0,-0.8,-0.007489984323288621,2.0,3.0,1.0,136965.0,1.0,237.0,-0.8,0.01110912022934953,3.0,3.0,0.0,123048.0,1.0,212.0,-0.8,-0.0015530787502282795,20.0,11.0,-9.0,298608.0,1.0,212.0,-0.4,-0.007440066133921211,7.0,3.0,-4.0,192211.0,1.0,212.0,-0.4,-0.017569412835684958,1.0,1.0,0.0,108444.0,1.0,108.0,-0.4,0.011789313557710542,2.0,13.0,11.0,219660.0,1.0,108.0,-0.4,-0.0006675567423230324
2016-06-16,0.005129988696634981,2016-06-16,1,3,2,2016-06-16,56606,2,1,1,0,0,41.0,1.5,4.0,2.0,-2.0,182567.0,1.0,41.0,1.5,-0.007537473233404672,8.0,4.0,-4.0,129170.0,2.0,41.0,1.5,0.009591504667294722,3.0,10.0,7.0,172336.0,1.0,41.0,1.5,-0.0035903573260386533,2.0,9.0,7.0,122838.0,2.0,197.0,1.5,-8.638562543197232e-05,8.0,3.0,-5.0,124673.0,2.0,197.0,1.8,0.01568627450980384,9.0,3.0,-6.0,211703.0,1.0,197.0,1.8,-0.010129481194398007,8.0,10.0,2.0,159922.0,1.0,197.0,1.8,-0.00044290902648593466,3.0,1.0,-2.0,165969.0,1.0,237.0,1.8,-0.00684270550048251,5.0,8.0,3.0,138009.0,1.0,237.0,-0.8,-0.0068701626228367,1.0,2.0,1.0,106798.0,1.0,237.0,-0.8,-0.007489984323288621,2.0,3.0,1.0,136965.0,1.0,237.0,-0.8,0.01110912022934953,3.0,3.0,0.0,123048.0,1.0,212.0,-0.8,-0.0015530787502282795,20.0,11.0,-9.0,298608.0,1.0,212.0,-0.4,-0.007440066133921211,7.0,3.0,-4.0,192211.0,1.0,212.0,-0.4,-0.017569412835684958,1.0,1.0,0.0,108444.0,1.0,108.0,-0.4,0.011789313557710542
2016-06-17,-0.0038019528212217897,2016-06-17,1,3,2,2016-06-17,140091,1,0,0,1,0,41.0,1.5,1.0,3.0,2.0,56606.0,2.0,41.0,1.5,0.005129988696634981,4.0,2.0,-2.0,182567.0,1.0,41.0,1.5,-0.007537473233404672,8.0,4.0,-4.0,129170.0,2.0,41.0,1.5,0.009591504667294722,3.0,10.0,7.0,172336.0,1.0,41.0,1.5,-0.0035903573260386533,2.0,9.0,7.0,122838.0,2.0,197.0,1.5,-8.638562543197232e-05,8.0,3.0,-5.0,124673.0,2.0,197.0,1.8,0.01568627450980384,9.0,3.0,-6.0,211703.0,1.0,197.0,1.8,-0.010129481194398007,8.0,10.0,2.0,159922.0,1.0,197.0,1.8,-0.00044290902648593466,3.0,1.0,-2.0,165969.0,1.0,237.0,1.8,-0.00684270550048251,5.0,8.0,3.0,138009.0,1.0,237.0,-0.8,-0.0068701626228367,1.0,2.0,1.0,106798.0,1.0,237.0,-0.8,-0.007489984323288621,2.0,3.0,1.0,136965.0,1.0,237.0,-0.8,0.01110912022934953,3.0,3.0,0.0,123048.0,1.0,212.0,-0.8,-0.0015530787502282795,20.0,11.0,-9.0,298608.0,1.0,212.0,-0.4,-0.007440066133921211,7.0,3.0,-4.0,192211.0,1.0,212.0,-0.4,-0.017569412835684958
2016-06-21,-0.002062032820689018,2016-06-21,9,1,-8,2016-06-21,244789,2,0,0,1,0,41.0,1.5,1.0,3.0,2.0,140091.0,1.0,41.0,1.5,-0.0038019528212217897,1.0,3.0,2.0,56606.0,2.0,41.0,1.5,0.005129988696634981,4.0,2.0,-2.0,182567.0,1.0,41.0,1.5,-0.007537473233404672,8.0,4.0,-4.0,129170.0,2.0,41.0,1.5,0.009591504667294722,3.0,10.0,7.0,172336.0,1.0,41.0,1.5,-0.0035903573260386533,2.0,9.0,7.0,122838.0,2.0,197.0,1.5,-8.638562543197232e-05,8.0,3.0,-5.0,124673.0,2.0,197.0,1.8,0.01568627450980384,9.0,3.0,-6.0,211703.0,1.0,197.0,1.8,-0.010129481194398007,8.0,10.0,2.0,159922.0,1.0,197.0,1.8,-0.00044290902648593466,3.0,1.0,-2.0,165969.0,1.0,237.0,1.8,-0.00684270550048251,5.0,8.0,3.0,138009.0,1.0,237.0,-0.8,-0.0068701626228367,1.0,2.0,1.0,106798.0,1.0,237.0,-0.8,-0.007489984323288621,2.0,3.0,1.0,136965.0,1.0,237.0,-0.8,0.01110912022934953,3.0,3.0,0.0,123048.0,1.0,212.0,-0.8,-0.0015530787502282795,20.0,11.0,-9.0,298608.0,1.0,212.0,-0.4,-0.007440066133921211
2016-06-27,-0.019702237674957726,2016-06-27,3,2,-1,2016-06-27,108981,1,0,0,1,0,41.0,1.5,9.0,1.0,-8.0,244789.0,2.0,41.0,1.5,-0.002062032820689018,1.0,3.0,2.0,140091.0,1.0,41.0,1.5,-0.0038019528212217897,1.0,3.0,2.0,56606.0,2.0,41.0,1.5,0.005129988696634981,4.0,2.0,-2.0,182567.0,1.0,41.0,1.5,-0.007537473233404672,8.0,4.0,-4.0,129170.0,2.0,41.0,1.5,0.009591504667294722,3.0,10.0,7.0,172336.0,1.0,41.0,1.5,-0.0035903573260386533,2.0,9.0,7.0,122838.0,2.0,197.0,1.5,-8.638562543197232e-05,8.0,3.0,-5.0,124673.0,2.0,197.0,1.8,0.01568627450980384,9.0,3.0,-6.0,211703.0,1.0,197.0,1.8,-0.010129481194398007,8.0,10.0,2.0,159922.0,1.0,197.0,1.8,-0.00044290902648593466,3.0,1.0,-2.0,165969.0,1.0,237.0,1.8,-0.00684270550048251,5.0,8.0,3.0,138009.0,1.0,237.0,-0.8,-0.0068701626228367,1.0,2.0,1.0,106798.0,1.0,237.0,-0.8,-0.007489984323288621,2.0,3.0,1.0,136965.0,1.0,237.0,-0.8,0.01110912022934953,3.0,3.0,0.0,123048.0,1.0,212.0,-0.8,-0.0015530787502282795
